period,pay_date,starting,ending,due
1,1/13/2023,12/18/2022,12/31/2022,1/4/2023
2,1/27/2023,1/1/2023,1/14/2023,1/18/2023
3,2/10/2023,1/15/2023,1/28/2023,2/1/2023
4,2/24/2023,1/29/2023,2/11/2023,2/15/2023
5,3/10/2023,2/12/2023,2/25/2023,3/1/2023
6,3/24/2023,2/26/2023,3/11/2023,3/15/2023
7,4/7/2023,3/12/2023,3/25/2023,3/29/2023
8,4/21/2023,3/26/2023,4/8/2023,4/12/2023
9,5/5/2023,4/9/2023,4/22/2023,4/26/2023
10,5/19/2023,4/23/2023,5/6/2023,5/10/2023
11,6/2/2023,5/7/2023,5/20/2023,5/24/2023
12,6/16/2023,5/21/2023,6/3/2023,6/7/2023
13,6/30/2023,6/4/2023,6/17/2023,6/21/2023
14,7/14/2023,6/18/2023,7/1/2023,7/5/2023
15,7/28/2023,7/2/2023,7/15/2023,7/19/2023
16,8/11/2023,7/16/2023,7/29/2023,8/2/2023
17,8/25/2023,7/30/2023,8/12/2023,8/16/2023
18,9/8/2023,8/13/2023,8/26/2023,8/30/2023
19,9/22/2023,8/27/2023,9/9/2023,9/13/2023
20,10/6/2023,9/10/2023,9/23/2023,9/27/2023
21,10/20/2023,9/24/2023,10/7/2023,10/11/2023
22,11/3/2023,10/8/2023,10/21/2023,10/25/2023
23,11/17/2023,10/22/2023,11/4/2023,11/8/2023
24,12/1/2023,11/5/2023,11/18/2023,11/22/2023
25,12/15/2023,11/19/2023,12/2/2023,12/6/2023
26,12/29/2023,12/3/2023,12/16/2023,12/20/2023
